Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18116572399.1298
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,523.053012101752
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,53.1042837649295
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,17115346
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,17520861
Afghanistan,AFG,"Population, total",SP.POP.TOTL,34636207
Afghanistan,AFG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11861199830.8396
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4124.05538986272
Albania,ALB,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Albania,ALB,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Albania,ALB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.967189781022
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1433925
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1442176
Albania,ALB,"Population, total",SP.POP.TOTL,2876101
Albania,ALB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.1
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,160034212126.018
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3967.20064743809
Algeria,DZA,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Algeria,DZA,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Algeria,DZA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,16.9369083372205
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,19783015
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,20556314
Algeria,DZA,"Population, total",SP.POP.TOTL,40339329
Algeria,DZA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,671000000
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,13300.8246114811
American Samoa,ASM,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
American Samoa,ASM,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
American Samoa,ASM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,252.24
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,25208
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,25240
American Samoa,ASM,"Population, total",SP.POP.TOTL,50448
American Samoa,ASM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2896611878.6258
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,39931.2362644858
Andorra,AND,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,21.2093296051025
Andorra,AND,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,20.8852195739746
Andorra,AND,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,21.0465507507324
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,154.340425531915
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,35913
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,36628
Andorra,AND,"Population, total",SP.POP.TOTL,72540
Andorra,AND,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,52761617225.9253
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,1809.70937719455
Angola,AGO,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Angola,AGO,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Angola,AGO,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
