,Country_Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Aruba,872067039.106145,958659217.877095,1083240223.46369,1245810055.86592,1320670391.06145,1379888268.15642,1531843575.41899,1665363128.49162,1722905027.93296,1873452513.96648,1896456983.24022,1961843575.41899,2044111731.84358,2254830726.25698,2360017318.43575,2469782681.56425,2677641340.78212,2843024581.00559,2553793296.08939,2453597206.70391,2637859217.87709,2615208379.88827,2727849720.67039,2790849720.67039,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2558906303.88098,3103184101.51354,3544707788.05664
1,Africa Eastern and Southern,275622021261.09,240210577721.912,238353057845.691,241158029890.41,270813961389.262,268992901985.369,284065411886.655,267286689939.3,263674195227.713,285403765401.254,260218617002.669,267142068310.105,354907412306.554,441359590323.394,514927086452.789,578633287253.354,664099392606.403,711800460143.432,723512528253.909,867040920627.224,971667511047.106,979996860991.406,986342932619.106,1006992481353.94,932513471557.123,890051427265.996,1028394291260.59,1012521425296.35,1006191000190.48,928880235176.594,1086530704900.5,1185137703650.99
2,Afghanistan,,,,,,,,,,,,3825701405.51958,4520946849.32079,5224896718.67782,6203256497.09044,6971758332.88917,9747886104.53251,10109296957.6569,12416152648.0573,15856668496.388,17805098367.2952,19907329905.9776,20146416876.3886,20497128600.3363,19134221744.5294,18116572399.1298,18753456506.5708,18053222734.8881,18799444414.5998,19955929060.841,14266499429.8746,
3,Africa Western and Central,127939039832.689,122575953686.486,127980941949.696,133143476720.137,205687093879.591,261262106172.312,274376968923.496,294949797405.741,137292485423.693,140132777859.081,147524718751.249,176588559103.843,204455023741.489,253453654650.339,310070743908.926,396077046021.055,465627259599.126,567853448132.047,508492534468.294,598607469639.526,682176065823.115,737739503299.735,834097010134.991,894505003403.491,769263195356.949,692114931613.254,685630289666.515,768158194632.397,823405580187.913,786962436538.391,844927536437.833,875393693658.084
4,Angola,10401188707.2808,8307826847.39834,6084688935.80032,4438321017.39068,5538749259.94714,6535434716.00224,7675412600.66513,6506381416.53236,6152922942.24539,9129594815.57661,8936079251.42093,15285592486.2532,17812704627.0282,23552057820.4599,36970901023.7893,52381025102.321,65266415706.9741,88538664884.265,70307196474.1272,83799473759.7201,111789747670.59,128052915202.989,132339108708.408,135966802156.542,90496420626.179,52761617225.9253,73690155046.555,79450688232.0011,70897962712.6213,48501561230.001,66505129989.243,106782770714.619
5,Albania,1099559027.77778,652174990.837304,1185315468.46295,1880950864.41311,2392764853.42107,3199640815.4163,2258513974.0968,2545964540.88383,3212121650.97755,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052077248.14638,8896075004.63516,10677324852.8822,12881352893.6855,12044205549.6571,11926926615.8015,12890760315.146,12319834195.331,12776224496.9718,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15156424015.1977,15401826127.2539,15162734205.2462,17930565118.8176,18916378860.5488
6,Andorra,1106891361.53948,1209992020.29543,1007090269.86956,1017544068.8408,1178745282.8678,1224024139.21295,1180645571.8643,1211953994.05714,1239840639.57248,1429047881.84275,1546912331.8807,1755989353.9328,2361636235.17833,2895047587.11888,3159826891.50873,3456264324.63015,3952395030.09698,4085780202.87838,3674190066.44504,3449925693.58181,3629133062.55168,3188653258.61001,3193513470.43941,3271686452.47686,2789882569.1005,2896611878.6258,3000160414.63795,3218418631.67579,3155150255.91195,2891002460.29153,3325143693.28714,3352031094.22914
7,Arab World,480685955944.023,485480997990.055,499344733364.61,531889376829.679,564846181458.454,615168379200.27,662599381239.788,649474839551.0,717783506460.08,820573600760.516,803225963243.441,808316115359.456,894211049434.972,1063199673336.65,1304960956754.7,1546220845671.46,1798723747331.16,2264025451574.68,1987928421954.15,2346088525053.08,2567292128049.55,2802930798518.45,2860928547664.76,2907245176944.27,2555806089294.93,2539393624579.97,2639754813075.27,2845898419150.44,2871654771803.32,2535508549307.3,2930480380718.33,3543339785306.04
8,United Arab Emirates,51552165622.4462,54239171887.769,55625170253.337,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.818,109816201497.617,124346358066.712,147824370319.946,180617467964.602,222116541865.214,257916133424.098,315474615738.598,253547358747.447,300189052694.029,360832739558.385,384610125384.033,400218529747.597,414105366758.911,370275469560.166,369255326235.771,390516804016.501,427049432149.345,417989721734.494,349473015336.939,415178792769.884,507063968273.313
9,Argentina,189719984268.485,228778917308.17,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,487902572164.348,631133384439.944
10,Armenia,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469511.10191,6384452066.5146,9206301269.79164,11662040713.8753,8647937081.2562,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513474648.2429
11,American Samoa,,,,,,,,,,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0
12,Antigua and Barbuda,481707407.407407,499281481.481481,535174074.074074,589429629.62963,577281481.481481,633729629.62963,680618518.518518,727859259.259259,766200000.0,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000.0,1281337037.03704,1327107407.40741,1325425925.92593,1378829629.62963,1437755555.55556,1489692592.59259,1531151851.85185,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333
13,Australia,325966686052.581,325518458076.533,312128302417.088,322802490487.721,368166023166.023,401341880620.728,435642611296.586,399674421759.479,389652212056.649,416167815092.908,379629301675.108,395788696012.059,467739079790.332,614659980082.515,695692898676.56,748417562769.636,855007458585.224,1056112427190.38,928762122698.05,1148890200292.42,1398701323029.63,1547649835732.89,1577301840200.01,1468597690006.22,1351768945139.11,1207580901578.72,1326882104817.0,1429733668185.91,1394671325960.57,1330381544909.3,1559033756285.13,1692956646855.7
14,Austria,173794177961.108,195078126721.763,190379720809.18,203535242741.838,241038283062.645,237250948791.266,212790348404.555,218259904401.956,217259147049.954,197289625479.906,197508773215.323,214394866675.24,262273631180.054,301457562038.541,316092273276.015,336280064332.411,389185571506.052,432051935642.945,401758735822.211,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,454991174096.102,444596155845.254,435049316955.737,479295362747.047,470941926750.741
15,Azerbaijan,5344000000.0,444658671.586716,1570392598.14954,1193141110.35043,2417331192.9526,3176507376.31836,3962362387.47922,4446368570.6901,4581248566.50158,5272615722.96892,5707616203.72011,6236087738.28284,7276413079.11451,8680405740.94125,13245421880.834,20981929497.6188,33049419431.2244,48851293785.4483,44292427184.9492,52909294791.9262,65952796427.9473,69679944504.1972,74160560123.6902,75239785452.1022,53076235354.746,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000.0,54825411764.7059,78721058823.5294
16,Burundi,1167398478.3459,1083037670.60484,938632612.026359,925030590.153683,1000428393.88528,869033856.317093,972896267.915425,893770740.207416,808077223.365746,870486065.883137,876794723.068586,825394519.423728,784654423.620476,915257323.3961,1117113079.73645,1273375078.44844,1356199387.42308,1611835857.04588,1781455139.85931,2032135192.01248,2235820809.32006,2333341334.45753,2451606632.29246,2705783329.80483,3104003546.26497,2644487776.50077,2723586962.84034,2667182199.51333,2576518879.82353,2649680261.43998,2775798697.47186,3338722827.66241
17,Belgium,210510999409.333,234781652446.675,224721795708.955,244884129491.198,288025588396.278,279201433224.756,252708051420.839,258528339631.029,258245733221.468,236792460312.471,236746141604.37,258383599375.177,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,517328087920.078,483254171097.812,481420882905.001,523330354138.133,496152879924.727,521791015247.06,535390200131.018,462335574841.484,476062757356.927,502764720556.354,543299066998.902,535865804349.803,526264230147.394,600748812601.541,583435595579.963
18,Benin,1986437796.53053,1695315305.70308,2274558082.76135,1598075943.86774,2169627137.9207,2361116449.39308,2268301646.46707,2455092686.34712,3677393998.74486,3519991440.47913,3666222635.13875,4194342686.2178,5349258094.48239,6190270380.49856,6567654954.38903,7034111314.88812,8169048382.83875,9787734526.23965,9738626517.00319,9535345015.78355,10693321363.6574,11141358115.8991,12517845123.9315,13284527846.9081,11388160997.1089,11821065852.1271,12701655845.9612,14262408079.7014,14390708756.988,15686741893.5187,17687623534.6665,17396792699.5489
19,Burkina Faso,3135045584.08387,3356692505.18266,3199536465.23328,1895290637.09504,2379517975.28056,2586550595.41013,2447669101.95178,2804902367.14687,3389566712.66037,2968370087.59759,3190371080.94768,3622350062.96053,4740768142.67494,5451688537.60959,6146353173.34929,6547419820.38113,7625722836.76847,9451435490.11467,9450696873.34326,10109619740.6994,12080295977.5632,12561015156.5683,13444300485.8412,13943016076.7436,11832159315.6298,12833363045.3367,14106955615.3442,15890066221.2882,16032813501.6639,17725010530.7894,19642668879.7694,18820064797.8379
20,Bangladesh,30957483949.5798,31708874594.1645,33166519417.9894,33768660882.793,37939748768.6567,46438484107.5795,48244309133.4895,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477779556.785,115279077465.226,128637983882.833,133355820262.925,149990529836.78,172885432686.945,195078573252.202,265236390328.627,293754781336.0,321379127909.353,351238399005.451,373902197869.16,416264800549.026,460201265527.977
21,Bulgaria,10943548387.0968,10350515463.9175,10832064941.654,9697416974.16974,18991484420.36,12294964837.6235,11316127378.9613,15031055046.7575,13627325461.1743,13245990274.4581,14183446025.7389,16403043849.8297,21144957990.4681,26157743368.8716,29868657858.0082,34380536495.6739,44432811756.4731,54480684188.4442,52023801230.12,50760929302.5147,57737040780.0157,54288135058.7926,55852123989.9504,57157782909.9307,50811995688.6771,53964253211.84,59309748166.1179,66370132238.3914,68881010245.5498,70368758395.141,84041493015.6618,90346169914.9349
22,Bahrain,4616223404.25532,4751063829.78723,5200265957.44681,5567553457.44681,5849467819.14894,6101861436.17021,6349202393.61702,6183776595.74468,6621010372.34043,9062898936.17021,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000.0,25710904255.3191,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37802005319.1489,38653318085.1064,34621807712.766,39288670212.766,44383297872.3404
23,"Bahamas, The",3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720400000.0,10395500000.0,10974800000.0,11672900000.0,11750800000.0,12253500000.0,12653600000.0,13058700000.0,9754600000.0,11527600000.0,12897400000.0
24,Bosnia and Herzegovina,,,,1255802469.1358,1866572953.73665,2786045321.63743,3671909673.04401,4116774300.60671,4686256363.04707,5567772768.81188,5800615466.26648,6728220886.64546,8498894359.38629,10156541538.399,11222796336.5426,12864841905.9543,15778734264.3787,19112796623.1175,17613949091.2294,17176315803.7298,18644233537.1093,17226735995.6905,18179108530.5261,18558733564.4692,16404348871.4437,17116926327.6247,18326373366.1105,20484053868.9246,20482608755.379,20226036564.4129,23649568276.8447,24473906673.7086
25,Belarus,,9200000000.0,16416666666.6667,14952100840.3361,13970425776.7549,14756846153.8462,14130585516.1787,15221352698.8944,12138243080.6258,12736780455.1539,12354820143.8849,14594900944.7658,17825444724.4878,23141566292.9462,30210091836.8294,36961894281.3444,45275711995.825,60752106347.126,50873167326.0414,57231904542.8755,61762382327.9319,65685890438.8922,75527558966.4473,78812805039.0743,56454889146.6088,47723545321.259,54725302249.8088,60031173807.7196,64410122847.3508,61371755326.2351,69673747131.87,72793457588.4367
26,Belize,594975697.04556,693625168.24559,750018765.327715,769649509.481095,816491620.228815,848205276.869645,870861115.17749,926550756.039735,996906468.694785,1134756760.62071,1168127973.94349,1240059540.09348,1303381860.75674,1394273990.60003,1468145956.19917,1584207353.22049,1699214298.91439,1731921564.0667,1681473348.43468,1739070295.44027,1818831938.17757,1899503249.8643,2021757434.18064,2125125606.25723,2194709309.24204,2240593542.9757,2266664817.08822,2292787335.62452,2386792476.10637,2047727810.06777,2424575179.3783,2830507575.6841
27,Bermuda,1634900000.0,1679900000.0,1820359900.0,1867160100.0,2030750000.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7127200000.0,7546000000.0
28,Bolivia,5343262457.10226,5643868748.68126,5734699488.84934,5981222858.82727,6715161732.22658,7396949126.35685,7925736821.45034,8497494652.12546,8285064434.56826,8397855484.76908,8141516928.39489,7905485146.44351,8082399639.54305,8773451751.5121,9549122905.32852,11451844902.2214,13120108008.3477,16674276285.8956,17339992193.7322,19649723722.1034,23963164696.592,27084497481.9103,30659338885.6729,32996188017.3661,33000198248.9146,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40406111695.179,44008282877.9606
29,Brazil,407337837837.838,390590371724.558,438302216833.007,546229749726.263,769333050986.905,850426432991.742,883206179730.462,863710759256.435,599642024319.531,655448231983.527,559983634798.981,509795273806.715,558233745651.874,669289424806.307,891633839853.105,1107626541710.74,1397114486471.38,1695855083552.05,1666996438681.46,2208837745214.23,2616156223977.47,2465227803011.57,2472819535742.73,2456043727198.85,1802212206904.68,1795693482652.52,2063514977334.32,1916933898038.36,1873288205186.45,1476107231194.11,1649622821885.14,1920095779022.73
30,Barbados,2020583702.08323,1957000000.0,2063342117.03873,2151344901.30761,2216974096.35559,2363645403.47039,2498384129.66738,2817083478.34734,2951822204.54432,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217450000.0,4674000000.0,4785250000.0,4465500000.0,4531150000.0,4656400000.0,4613850000.0,4685550000.0,4707600000.0,4734000000.0,4843300000.0,4992300000.0,5110250000.0,5341100000.0,4738800000.0,4923100000.0,5699950000.0
31,Brunei Darussalam,3701774188.88021,4183632940.38492,4105729020.64685,4087220218.87545,4734103536.46706,5115454089.63285,5197311972.06908,4051142386.30212,4600116699.1257,6001282104.08228,5601018684.24974,5843368267.85391,6557397070.22741,7872202803.40877,9531420027.79385,11470464771.013,12247677993.9248,14393434224.7597,10732595016.1182,13707280259.9763,18525128526.3766,19048443340.7732,18094321616.7959,17097802752.8728,12930291487.9581,11400466356.3898,12128183904.4501,13566937673.7966,13469235364.7032,12005799653.9835,14006496617.4458,16681536466.7183
32,Bhutan,240294286.015925,240233531.160464,225973692.8371,258954708.048533,290490983.815778,303408345.620078,352229076.707627,363458380.903342,399311199.50776,424448931.007248,461479581.813528,520846133.513339,603999374.539588,682577068.508011,796938571.960642,874989741.101421,1168307584.21345,1227809270.44945,1234015133.10525,1547990911.56653,1777102573.23973,1781280181.55431,1756214316.41385,1907090375.97776,2003596838.78013,2158971711.31564,2591358114.48376,2583335723.83252,2735683408.71698,2457604042.76364,2768003872.54065,
33,Botswana,3942876703.45184,4146464586.61674,4160129174.70569,4259259604.15623,4730599121.92704,4847757217.75815,5020265626.66489,4790481509.17679,5484263346.88105,5788329609.15755,5489608299.66445,5438863982.88692,7511582173.37724,8957467706.5354,9918907108.09702,9919158482.41085,10567270655.5027,10730829116.4105,10118459242.3183,12637273429.1339,15110643612.1729,13907464500.1489,14271738933.2042,15470088500.7414,13530748844.505,15082636722.902,16105156375.533,17031943186.1353,16725908666.8462,14960291541.176,18737066311.1597,20355541962.8512
34,Central African Republic,1377374986.58709,1411917553.12436,1278781261.55928,851174356.781737,1115389673.69197,1007791127.09913,937741513.015352,967338389.650578,999477510.686632,916777282.691659,932648604.751954,996068144.884889,1142315522.53864,1272360517.32373,1337894378.73743,1461859762.33459,1699811294.94935,1993407888.49838,2067381665.25454,2142591540.40068,2437982705.12093,2510126512.22831,1691544110.18543,1894813389.40325,1695825714.19282,1825018144.65595,2072349972.6818,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694
35,Canada,612527712315.615,594387358318.855,579053561739.4,579944346807.264,605961090061.207,630607994132.747,654986999855.554,634000000000.0,678412196271.118,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1647598402302.68,2001486745423.92,2137939220074.91
36,Central Europe and the Baltics,242589999851.319,260007192125.902,274155699209.854,310993103188.365,393418186744.059,416195415174.039,410169356182.417,448894516201.305,435065154081.647,428597869265.835,468614929760.097,528073644706.221,634392755114.964,763090521706.343,886071992246.426,1001637168216.98,1265564800459.09,1530711739102.62,1289846065408.44,1316531033893.12,1454696041345.17,1358996129796.77,1417459171481.04,1463675951157.07,1293469512790.95,1316594480887.55,1461306924995.73,1648634467771.53,1674210532695.96,1665327992740.77,1908002281033.51,1944160092868.98
37,Switzerland,268901693863.319,279921425828.474,272237527070.926,301375055202.164,352835806342.495,340103959546.926,294788198856.198,303459014346.806,297873643323.126,279216033870.204,286582672434.226,309301422430.386,362075086507.76,403912891033.374,418284865884.998,441634672196.523,490740715594.802,567267767519.158,554212916092.271,598851028906.58,715888126682.396,686420221557.99,706234937370.968,726537808338.0,694118186379.628,687895460902.713,695200833086.499,725568717468.001,721369112726.724,741999406005.627,813408787222.499,818426550206.45
38,Channel Islands,,,,,,,,5945677376.61477,6262740656.85164,6439703434.71024,6232906290.4851,6663669064.7482,7332244897.95918,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.3369,,,,,,,,,9511207129.35458,9530244530.24453,10422948632.4216,10381669645.1366,9811538461.53846,11735662219.7772,
39,Chile,37846188180.81,45949608605.2333,49287378587.5542,56998601233.0675,73444831587.4252,78584098982.9097,85741415248.4482,81990010726.0184,75578685736.1159,78339750717.0395,71574739558.6914,70264045959.6025,76492579644.0605,99075985721.5697,122294145211.371,153843518110.852,172491075948.358,179894594475.98,171777900623.177,217051209240.298,251382574083.741,267024782642.389,277395018674.682,259560978407.095,242450355827.827,249344864067.964,276154259806.312,295857562826.427,278598887622.96,254258196269.735,316581155648.871,301024724911.923
40,China,413375445354.473,493136961883.002,619111946511.628,564321854521.013,734484834573.582,863749314718.538,961601980984.623,1029060747620.65,1094010482677.39,1211331651829.85,1339400897153.44,1470557654824.11,1660280543870.95,1955346768757.64,2285961149904.26,2752118657221.64,3550327803024.69,4594336785752.06,5101691124358.41,6087191746738.57,7551545703518.14,8532185381696.43,9570471111847.82,10475624944290.1,11061572618594.8,11233313730288.5,12310491333980.9,13894907857925.9,14279968506242.8,14687744162801.0,17820459508852.2,17963171479205.3
41,Cote d'Ivoire,10492628587.8153,11152971284.4722,11045760268.6163,8313557515.23869,11000146268.7173,18071152821.0721,18047558026.8813,19619654769.9792,18870992455.568,16577533891.1783,16810537037.873,18054383333.8602,21251754334.2005,23510575668.4394,24036918719.1307,25281413268.2105,28760090924.4659,34078240260.4002,33886813225.705,34936307964.5293,36693710823.1998,36302302845.3012,42760235497.5958,48843005625.5796,45815005170.815,48407761031.9226,52512344033.7688,58522477744.5444,59898479821.2323,62982768371.6208,71811075955.078,70018715016.8293
