,Laureate_ID,Full_Name,Birth_Date,Sex
0,160,Jacobus Henricus van 't Hoff,1852-08-30,Male
1,569,Sully Prudhomme,1839-03-16,Male
2,293,Emil Adolf von Behring,1854-03-15,Male
3,462,Jean Henry Dunant,1828-05-08,Male
4,463,Frédéric Passy,1822-05-20,Male
5,1,Wilhelm Conrad Röntgen,1845-03-27,Male
6,161,Hermann Emil Fischer,1852-10-09,Male
7,571,Christian Matthias Theodor Mommsen,1817-11-30,Male
8,294,Ronald Ross,1857-05-13,Male
9,464,Élie Ducommun,1833-02-19,Male
10,465,Charles Albert Gobat,1843-05-21,Male
11,2,Hendrik Antoon Lorentz,1853-07-18,Male
12,3,Pieter Zeeman,1865-05-25,Male
13,162,Svante August Arrhenius,1859-02-19,Male
14,572,Bjørnstjerne Martinus Bjørnson,1832-12-08,Male
15,295,Niels Ryberg Finsen,1860-12-15,Male
16,466,William Randal Cremer,1828-03-18,Male
17,4,Antoine Henri Becquerel,1852-12-15,Male
18,5,Pierre Curie,1859-05-15,Male
19,6,"Marie Curie, née Sklodowska",1867-11-07,Female
20,163,Sir William Ramsay,1852-10-02,Male
21,573,Frédéric Mistral,1830-09-08,Male
22,574,José Echegaray y Eizaguirre,1832-04-19,Male
23,296,Ivan Petrovich Pavlov,1849-09-14,Male
24,467,Institut de droit international (Institute of International Law),,
25,8,Lord Rayleigh (John William Strutt),1842-11-12,Male
26,164,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Male
27,575,Henryk Sienkiewicz,1846-05-05,Male
28,297,Robert Koch,1843-12-11,Male
29,468,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Female
30,9,Philipp Eduard Anton von Lenard,1862-06-07,Male
31,165,Henri Moissan,1852-09-28,Male
32,576,Giosuè Carducci,1835-07-27,Male
33,298,Camillo Golgi,1843-07-07,Male
34,299,Santiago Ramón y Cajal,1852-05-01,Male
35,470,Theodore Roosevelt,1858-10-27,Male
36,10,Joseph John Thomson,1856-12-18,Male
37,166,Eduard Buchner,1860-05-20,Male
38,577,Rudyard Kipling,1865-12-30,Male
39,300,Charles Louis Alphonse Laveran,1845-06-18,Male
40,471,Ernesto Teodoro Moneta,1833-09-20,Male
41,472,Louis Renault,1843-05-21,Male
