,Laureate_ID,Full_Name,Birth_Date,Sex,Organization_Name,Organization_Country,Organization_City,Organization
0,160,Jacobus Henricus van 't Hoff,1852-08-30,Male,Berlin University,Germany,Berlin,1
1,569,Sully Prudhomme,1839-03-16,Male,,,,0
2,293,Emil Adolf von Behring,1854-03-15,Male,Marburg University,Germany,Marburg,1
3,462,Jean Henry Dunant,1828-05-08,Male,,,,0
4,463,Frédéric Passy,1822-05-20,Male,,,,0
5,1,Wilhelm Conrad Röntgen,1845-03-27,Male,Munich University,Germany,Munich,1
6,161,Hermann Emil Fischer,1852-10-09,Male,Berlin University,Germany,Berlin,1
7,571,Christian Matthias Theodor Mommsen,1817-11-30,Male,,,,0
8,294,Ronald Ross,1857-05-13,Male,University College,United Kingdom,Liverpool,1
9,464,Élie Ducommun,1833-02-19,Male,,,,0
10,465,Charles Albert Gobat,1843-05-21,Male,,,,0
11,2,Hendrik Antoon Lorentz,1853-07-18,Male,Leiden University,Netherlands,Leiden,1
12,3,Pieter Zeeman,1865-05-25,Male,Amsterdam University,Netherlands,Amsterdam,1
13,162,Svante August Arrhenius,1859-02-19,Male,Stockholm University,Sweden,Stockholm,1
14,572,Bjørnstjerne Martinus Bjørnson,1832-12-08,Male,,,,0
15,295,Niels Ryberg Finsen,1860-12-15,Male,Finsen Medical Light Institute,Denmark,Copenhagen,1
16,466,William Randal Cremer,1828-03-18,Male,,,,0
17,4,Antoine Henri Becquerel,1852-12-15,Male,École Polytechnique,France,Paris,1
18,5,Pierre Curie,1859-05-15,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),France,Paris,1
19,6,"Marie Curie, née Sklodowska",1867-11-07,Female,,,,0
20,6,"Marie Curie, née Sklodowska",1867-11-07,Female,Sorbonne University,France,Paris,1
21,163,Sir William Ramsay,1852-10-02,Male,University College,United Kingdom,London,1
22,573,Frédéric Mistral,1830-09-08,Male,,,,0
23,574,José Echegaray y Eizaguirre,1832-04-19,Male,,,,0
24,296,Ivan Petrovich Pavlov,1849-09-14,Male,Military Medical Academy,Russia,St. Petersburg,1
25,467,Institut de droit international (Institute of International Law),,,,,,0
26,8,Lord Rayleigh (John William Strutt),1842-11-12,Male,Royal Institution of Great Britain,United Kingdom,London,1
27,164,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Male,Munich University,Germany,Munich,1
28,575,Henryk Sienkiewicz,1846-05-05,Male,,,,0
29,297,Robert Koch,1843-12-11,Male,Institute for Infectious Diseases,Germany,Berlin,1
30,468,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Female,,,,0
31,9,Philipp Eduard Anton von Lenard,1862-06-07,Male,Kiel University,Germany,Kiel,1
32,165,Henri Moissan,1852-09-28,Male,Sorbonne University,France,Paris,1
33,576,Giosuè Carducci,1835-07-27,Male,,,,0
34,298,Camillo Golgi,1843-07-07,Male,Pavia University,Italy,Pavia,1
35,299,Santiago Ramón y Cajal,1852-05-01,Male,Madrid University,Spain,Madrid,1
36,470,Theodore Roosevelt,1858-10-27,Male,,,,0
37,10,Joseph John Thomson,1856-12-18,Male,University of Cambridge,United Kingdom,Cambridge,1
38,166,Eduard Buchner,1860-05-20,Male,Landwirtschaftliche Hochschule (Agricultural College),Germany,Berlin,1
39,577,Rudyard Kipling,1865-12-30,Male,,,,0
40,300,Charles Louis Alphonse Laveran,1845-06-18,Male,Institut Pasteur,France,Paris,1
41,471,Ernesto Teodoro Moneta,1833-09-20,Male,,,,0
42,472,Louis Renault,1843-05-21,Male,Sorbonne University,France,Paris,1
43,11,Albert Abraham Michelson,1852-12-19,Male,University of Chicago,United States of America,"Chicago, IL",1
44,167,Ernest Rutherford,1871-08-30,Male,Victoria University,United Kingdom,Manchester,1
45,578,Rudolf Christoph Eucken,1846-01-05,Male,,,,0
46,301,Ilya Ilyich Mechnikov,1845-05-15,Male,Institut Pasteur,France,Paris,1
47,302,Paul Ehrlich,1854-03-14,Male,Goettingen University,Germany,Göttingen,1
48,302,Paul Ehrlich,1854-03-14,Male,Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy),Germany,Frankfurt-on-the-Main,1
49,302,Paul Ehrlich,1854-03-14,Male,Goettingen University,Germany,Göttingen,1
50,302,Paul Ehrlich,1854-03-14,Male,Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy),Germany,Frankfurt-on-the-Main,1
51,473,Klas Pontus Arnoldson,1844-10-27,Male,,,,0
52,474,Fredrik Bajer,1837-04-21,Male,,,,0
53,12,Gabriel Lippmann,1845-08-16,Male,Sorbonne University,France,Paris,1
54,168,Wilhelm Ostwald,1853-09-02,Male,Leipzig University,Germany,Leipzig,1
55,579,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Female,,,,0
56,303,Emil Theodor Kocher,1841-08-25,Male,Berne University,Switzerland,Berne,1
57,475,Auguste Marie François Beernaert,1829-07-26,Male,,,,0
58,476,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,Male,,,,0
59,13,Guglielmo Marconi,1874-04-25,Male,Marconi Wireless Telegraph Co. Ltd.,United Kingdom,London,1
60,14,Karl Ferdinand Braun,1850-06-06,Male,Strasbourg University,"Alsace (then Germany, now France)",Strasbourg,1
61,169,Otto Wallach,1847-03-27,Male,Goettingen University,Germany,Göttingen,1
62,580,Paul Johann Ludwig Heyse,1830-03-15,Male,,,,0
63,304,Albrecht Kossel,1853-09-16,Male,University of Heidelberg,Germany,Heidelberg,1
64,477,Bureau international permanent de la Paix (Permanent International Peace Bureau),,,,,,0
65,15,Johannes Diderik van der Waals,1837-11-23,Male,Amsterdam University,Netherlands,Amsterdam,1
66,6,"Marie Curie, née Sklodowska",1867-11-07,Female,,,,0
67,6,"Marie Curie, née Sklodowska",1867-11-07,Female,Sorbonne University,France,Paris,1
68,581,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Male,,,,0
69,305,Allvar Gullstrand,1862-06-05,Male,Uppsala University,Sweden,Uppsala,1
70,478,Tobias Michael Carel Asser,1838-04-28,Male,,,,0
71,479,Alfred Hermann Fried,1864-11-11,Male,,,,0
72,16,Wilhelm Wien,1864-01-13,Male,Würzburg University,Germany,Würzburg,1
73,172,Victor Grignard,1871-05-06,Male,Nancy University,France,Nancy,1
74,173,Paul Sabatier,1854-11-05,Male,Toulouse University,France,Toulouse,1
75,582,Gerhart Johann Robert Hauptmann,1862-11-15,Male,,,,0
76,306,Alexis Carrel,1873-06-28,Male,Rockefeller Institute for Medical Research,United States of America,"New York, NY",1
77,480,Elihu Root,1845-02-15,Male,,,,0
78,17,Nils Gustaf Dalén,1869-11-30,Male,Swedish Gas-Accumulator Co.,Sweden,Lidingö-Stockholm,1
79,174,Alfred Werner,1866-12-12,Male,University of Zurich,Switzerland,Zurich,1
80,583,Rabindranath Tagore,1861-05-07,Male,,,,0
81,307,Charles Robert Richet,1850-08-26,Male,Sorbonne University,France,Paris,1
82,481,Henri La Fontaine,1854-04-22,Male,,,,0
83,18,Heike Kamerlingh Onnes,1853-09-21,Male,Leiden University,Netherlands,Leiden,1
84,175,Theodore William Richards,1868-01-31,Male,Harvard University,United States of America,"Cambridge, MA",1
85,308,Robert Bárány,1876-04-22,Male,Vienna University,Austria,Vienna,1
86,19,Max von Laue,1879-10-09,Male,Frankfurt-on-the-Main University,Germany,Frankfurt-on-the-Main,1
87,176,Richard Martin Willstätter,1872-08-13,Male,Munich University,Germany,Munich,1
88,584,Romain Rolland,1866-01-29,Male,,,,0
89,20,Sir William Henry Bragg,1862-07-02,Male,University College,United Kingdom,London,1
90,21,William Lawrence Bragg,1890-03-31,Male,Victoria University,United Kingdom,Manchester,1
91,585,Carl Gustaf Verner von Heidenstam,1859-07-06,Male,,,,0
92,586,Karl Adolph Gjellerup,1857-06-02,Male,,,,0
93,587,Henrik Pontoppidan,1857-07-24,Male,,,,0
94,482,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,0
95,482,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,0
96,482,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,0
97,22,Charles Glover Barkla,1877-06-07,Male,Edinburgh University,United Kingdom,Edinburgh,1
98,177,Fritz Haber,1868-12-09,Male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Germany,Berlin-Dahlem,1
99,23,Max Karl Ernst Ludwig Planck,1858-04-23,Male,Berlin University,Germany,Berlin,1
100,588,Carl Friedrich Georg Spitteler,1845-04-24,Male,,,,0
101,309,Jules Bordet,1870-06-13,Male,Brussels University,Belgium,Brussels,1
102,483,Thomas Woodrow Wilson,1856-12-28,Male,,,,0
103,24,Johannes Stark,1874-04-15,Male,Greifswald University,Germany,Greifswald,1
104,178,Walther Hermann Nernst,1864-06-25,Male,Berlin University,Germany,Berlin,1
105,589,Knut Pedersen Hamsun,1859-08-04,Male,,,,0
106,310,Schack August Steenberg Krogh,1874-11-15,Male,Copenhagen University,Denmark,Copenhagen,1
107,484,Léon Victor Auguste Bourgeois,1851-05-21,Male,,,,0
108,25,Charles Edouard Guillaume,1861-02-15,Male,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),France,Sèvres,1
109,179,Frederick Soddy,1877-09-02,Male,University of Oxford,United Kingdom,Oxford,1
110,590,Anatole France,1844-04-16,Male,,,,0
111,485,Karl Hjalmar Branting,1860-11-23,Male,,,,0
112,486,Christian Lous Lange,1869-09-17,Male,,,,0
113,26,Albert Einstein,1879-03-14,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Germany,Berlin,1
114,180,Francis William Aston,1877-09-01,Male,University of Cambridge,United Kingdom,Cambridge,1
115,592,Jacinto Benavente,1866-08-12,Male,,,,0
116,311,Archibald Vivian Hill,1886-09-26,Male,London University,United Kingdom,London,1
